FileNumber,iterations,TotalCSum,MaxFlipsResultSum,FlipsResultSum,satisfiedCSum,SolvedSum,nOfRuns
0930,300,91000,300000,103421,90876,876,1000
0371,300,91000,300000,62816,90983,985,1000
0634,300,91000,300000,23149,91000,1000,1000
071,300,91000,300000,36133,91000,1000,1000
0804,300,91000,300000,19573,91000,1000,1000
0990,300,91000,300000,63228,90995,995,1000
0327,300,91000,300000,58064,90989,989,1000
0816,300,91000,300000,58303,90983,983,1000
0747,300,91000,300000,43095,90999,999,1000
0897,300,91000,300000,62361,90979,981,1000
0280,300,91000,300000,56223,91000,1000,1000
0468,300,91000,300000,110778,90792,792,1000
0314,300,91000,300000,30799,91000,1000,1000
0778,300,91000,300000,70878,90927,927,1000
0232,300,91000,300000,98645,90927,927,1000
0339,300,91000,300000,58371,90965,965,1000
0780,300,91000,300000,67597,90982,983,1000
0262,300,91000,300000,78482,90962,962,1000
0765,300,91000,300000,93240,90857,857,1000
041,300,91000,300000,73413,90979,981,1000
0116,300,91000,300000,69028,90965,965,1000
0779,300,91000,300000,52041,90996,996,1000
0429,300,91000,300000,23752,91000,1000,1000
0118,300,91000,300000,21320,91000,1000,1000
0119,300,91000,300000,103240,90792,792,1000
021,300,91000,300000,50666,90998,998,1000
0278,300,91000,300000,90284,90783,783,1000
0738,300,91000,300000,37026,91000,1000,1000
0905,300,91000,300000,45475,90990,990,1000
0285,300,91000,300000,58627,90995,997,1000
0241,300,91000,300000,37856,91000,1000,1000
0622,300,91000,300000,52511,90964,964,1000
0856,300,91000,300000,11715,91000,1000,1000
0772,300,91000,300000,21903,91000,1000,1000
0138,300,91000,300000,88369,90777,860,1000
0420,300,91000,300000,100660,90808,808,1000
0162,300,91000,300000,22219,91000,1000,1000
0783,300,91000,300000,96855,90952,952,1000
0362,300,91000,300000,46700,90994,994,1000
0451,300,91000,300000,23478,91000,1000,1000
0460,300,91000,300000,35278,91000,1000,1000
0884,300,91000,300000,84503,90947,947,1000
0131,300,91000,300000,13868,91000,1000,1000
0537,300,91000,300000,57371,90993,993,1000
0110,300,91000,300000,18507,91000,1000,1000
0807,300,91000,300000,50387,90998,998,1000
0522,300,91000,300000,28902,91000,1000,1000
0484,300,91000,300000,75669,90958,958,1000
0964,300,91000,300000,34281,90996,996,1000
0592,300,91000,300000,46360,90997,998,1000
0192,300,91000,300000,116960,90610,610,1000
0348,300,91000,300000,86264,90918,918,1000
0189,300,91000,300000,41203,90996,998,1000
0533,300,91000,300000,100480,90716,716,1000
0126,300,91000,300000,76510,90963,963,1000
0667,300,91000,300000,80721,90906,906,1000
0817,300,91000,300000,36888,91000,1000,1000
0351,300,91000,300000,81752,90965,967,1000
0163,300,91000,300000,27388,91000,1000,1000
0602,300,91000,300000,32752,91000,1000,1000
0693,300,91000,300000,70718,90988,988,1000
0969,300,91000,300000,62165,90987,987,1000
0526,300,91000,300000,92532,90893,893,1000
0529,300,91000,300000,84809,90839,839,1000
0471,300,91000,300000,57968,90976,976,1000
011,300,91000,300000,31436,90999,999,1000
0165,300,91000,300000,31866,90997,997,1000
0222,300,91000,300000,74333,90976,977,1000
0146,300,91000,300000,54681,90983,983,1000
033,300,91000,300000,44388,91000,1000,1000
0609,300,91000,300000,75811,90956,956,1000
0944,300,91000,300000,101033,90687,687,1000
0665,300,91000,300000,24888,91000,1000,1000
0742,300,91000,300000,31316,91000,1000,1000
0433,300,91000,300000,57146,90977,977,1000
025,300,91000,300000,92722,90835,835,1000
0130,300,91000,300000,52937,90999,999,1000
0312,300,91000,300000,100577,90695,755,1000
0928,300,91000,300000,104329,90843,843,1000
043,300,91000,300000,90098,90656,656,1000
0543,300,91000,300000,87263,90892,900,1000
0766,300,91000,300000,55710,90989,989,1000
0880,300,91000,300000,46766,90999,999,1000
0619,300,91000,300000,28508,91000,1000,1000
0558,300,91000,300000,43298,90999,999,1000
0528,300,91000,300000,99161,90758,856,1000
070,300,91000,300000,25301,91000,1000,1000
0193,300,91000,300000,114442,90671,671,1000
052,300,91000,300000,55393,90995,995,1000
0437,300,91000,300000,82245,90929,929,1000
0392,300,91000,300000,34255,91000,1000,1000
0889,300,91000,300000,54369,90996,996,1000
0318,300,91000,300000,31541,91000,1000,1000
0446,300,91000,300000,25560,91000,1000,1000
0987,300,91000,300000,50818,90991,991,1000
0250,300,91000,300000,50617,90994,994,1000
0564,300,91000,300000,76529,90897,897,1000
0127,300,91000,300000,25046,91000,1000,1000
0197,300,91000,300000,97050,90887,888,1000
0808,300,91000,300000,81083,90963,964,1000
