FileNumber,iterations,TotalCSum,MaxFlipsResultSum,FlipsResultSum,satisfiedCSum,SolvedSum,nOfRuns
0915,300,218000,300000,163121,217359,737,1000
0903,300,218000,300000,286537,215905,96,1000
0366,300,218000,300000,267733,215932,208,1000
063,300,218000,300000,246722,215954,305,1000
0449,300,218000,300000,202745,216679,557,1000
0245,300,218000,300000,269732,216361,219,1000
0911,300,218000,300000,270549,216167,195,1000
0326,300,218000,300000,252169,216459,309,1000
0583,300,218000,300000,259867,216251,298,1000
0323,300,218000,300000,238257,216384,399,1000
050,300,218000,300000,257697,215850,234,1000
0819,300,218000,300000,245316,216452,358,1000
0472,300,218000,300000,154094,217486,770,1000
0320,300,218000,300000,186309,217331,676,1000
0778,300,218000,300000,238952,216603,399,1000
0500,300,218000,300000,280831,215810,124,1000
0599,300,218000,300000,219511,217027,514,1000
0451,300,218000,300000,232101,216287,439,1000
0196,300,218000,300000,219641,216981,522,1000
0299,300,218000,300000,204608,217113,585,1000
013,300,218000,300000,217903,216968,521,1000
0652,300,218000,300000,269675,216344,201,1000
098,300,218000,300000,202383,216960,540,1000
0880,300,218000,300000,263726,216077,229,1000
073,300,218000,300000,283748,215690,88,1000
0460,300,218000,300000,242403,216395,388,1000
0345,300,218000,300000,287168,215997,80,1000
0653,300,218000,300000,204346,216990,533,1000
0941,300,218000,300000,276635,216051,176,1000
0695,300,218000,300000,192292,217119,618,1000
0269,300,218000,300000,144378,217707,860,1000
0496,300,218000,300000,214056,216868,537,1000
0125,300,218000,300000,242865,216284,388,1000
0844,300,218000,300000,285182,215789,103,1000
0690,300,218000,300000,276728,215646,156,1000
0110,300,218000,300000,225424,216841,456,1000
0194,300,218000,300000,280729,215809,122,1000
0644,300,218000,300000,216063,217014,514,1000
0971,300,218000,300000,218674,216855,498,1000
0286,300,218000,300000,271796,216109,200,1000
0703,300,218000,300000,207458,216966,582,1000
0522,300,218000,300000,256045,216205,254,1000
0373,300,218000,300000,260969,216128,252,1000
0537,300,218000,300000,215914,217037,521,1000
0369,300,218000,300000,281334,214506,106,1000
0863,300,218000,300000,274499,215781,180,1000
0925,300,218000,300000,98082,217943,967,1000
0712,300,218000,300000,264680,215866,228,1000
0732,300,218000,300000,263944,216057,232,1000
0107,300,218000,300000,273678,215793,171,1000
0102,300,218000,300000,233731,216507,394,1000
0945,300,218000,300000,278701,216370,171,1000
0347,300,218000,300000,288751,216027,72,1000
0893,300,218000,300000,229421,216959,500,1000
0657,300,218000,300000,187655,217208,665,1000
0215,300,218000,300000,248315,216546,306,1000
0672,300,218000,300000,268369,215243,209,1000
0502,300,218000,300000,271771,215583,194,1000
0538,300,218000,300000,228641,216785,453,1000
0585,300,218000,300000,252064,216511,321,1000
0973,300,218000,300000,241555,216499,335,1000
0579,300,218000,300000,235172,216701,410,1000
0799,300,218000,300000,277068,216031,149,1000
0214,300,218000,300000,245373,216410,307,1000
0346,300,218000,300000,262418,215772,243,1000
0857,300,218000,300000,256034,215903,325,1000
0237,300,218000,300000,181060,217332,674,1000
0416,300,218000,300000,176957,217223,700,1000
0466,300,218000,300000,240953,216212,359,1000
0151,300,218000,300000,283671,215875,119,1000
0283,300,218000,300000,214246,216667,505,1000
0724,300,218000,300000,168724,217316,706,1000
0188,300,218000,300000,192016,216976,603,1000
0297,300,218000,300000,276688,214840,140,1000
0820,300,218000,300000,235116,216598,397,1000
0422,300,218000,300000,260763,215829,263,1000
0210,300,218000,300000,230933,216790,478,1000
0352,300,218000,300000,286685,215592,68,1000
0131,300,218000,300000,180944,217124,643,1000
0242,300,218000,300000,142942,217634,809,1000
0311,300,218000,300000,274190,215937,160,1000
0996,300,218000,300000,223971,216411,451,1000
0379,300,218000,300000,240047,216333,373,1000
0239,300,218000,300000,197011,217243,584,1000
0355,300,218000,300000,274079,215228,163,1000
0443,300,218000,300000,257256,216409,281,1000
0240,300,218000,300000,274419,215934,172,1000
0301,300,218000,300000,274333,215924,177,1000
0549,300,218000,300000,130804,217699,866,1000
0447,300,218000,300000,291450,216001,57,1000
0746,300,218000,300000,141333,217695,834,1000
0786,300,218000,300000,184820,217240,664,1000
0564,300,218000,300000,244234,216497,366,1000
0779,300,218000,300000,190557,217233,644,1000
0686,300,218000,300000,194522,216933,611,1000
0810,300,218000,300000,265114,215740,202,1000
0138,300,218000,300000,264850,216312,227,1000
0824,300,218000,300000,211817,217102,525,1000
0822,300,218000,300000,160187,217509,792,1000
061,300,218000,300000,271763,214742,173,1000
