FileNumber,iterations,TotalCSum,MaxFlipsResultSum,FlipsResultSum,satisfiedCSum,SolvedSum,nOfRuns
0930,300,91000,300000,171577,90410,705,1000
0371,300,91000,300000,88061,90780,923,1000
0634,300,91000,300000,28472,90999,999,1000
071,300,91000,300000,43534,90999,999,1000
0804,300,91000,300000,20414,91000,1000,1000
0990,300,91000,300000,74757,90937,970,1000
0327,300,91000,300000,74739,90909,948,1000
0816,300,91000,300000,94313,90860,913,1000
0747,300,91000,300000,62570,90972,990,1000
0897,300,91000,300000,102197,90797,910,1000
0280,300,91000,300000,60036,90994,995,1000
0468,300,91000,300000,157008,90580,767,1000
0314,300,91000,300000,41070,90999,999,1000
0778,300,91000,300000,117244,90572,803,1000
0232,300,91000,300000,111210,90898,937,1000
0339,300,91000,300000,96134,90789,870,1000
0780,300,91000,300000,81871,90870,948,1000
0262,300,91000,300000,83159,90952,973,1000
0765,300,91000,300000,155538,90452,707,1000
041,300,91000,300000,96415,90901,954,1000
0116,300,91000,300000,69401,90904,954,1000
0779,300,91000,300000,78441,90918,958,1000
0429,300,91000,300000,26228,91000,1000,1000
0118,300,91000,300000,26557,90992,995,1000
0119,300,91000,300000,172081,90300,637,1000
021,300,91000,300000,79357,90879,950,1000
0278,300,91000,300000,163511,90421,640,1000
0738,300,91000,300000,46466,90989,992,1000
0905,300,91000,300000,72016,90897,933,1000
0285,300,91000,300000,70726,90944,979,1000
0241,300,91000,300000,47252,90989,997,1000
0622,300,91000,300000,74526,90817,905,1000
0856,300,91000,300000,11456,91000,1000,1000
0772,300,91000,300000,25255,90993,997,1000
0138,300,91000,300000,146176,90217,714,1000
0420,300,91000,300000,157398,90408,711,1000
0162,300,91000,300000,24645,91000,1000,1000
0783,300,91000,300000,142821,90712,838,1000
0362,300,91000,300000,56526,90992,996,1000
0451,300,91000,300000,28799,91000,1000,1000
0460,300,91000,300000,32181,91000,1000,1000
0884,300,91000,300000,124775,90675,855,1000
0131,300,91000,300000,14950,91000,1000,1000
0537,300,91000,300000,70549,90909,952,1000
0110,300,91000,300000,20009,91000,1000,1000
0807,300,91000,300000,57472,90992,996,1000
0522,300,91000,300000,35659,90992,997,1000
0484,300,91000,300000,129983,90595,793,1000
0964,300,91000,300000,48200,90895,935,1000
0592,300,91000,300000,71055,90905,964,1000
0192,300,91000,300000,224336,89848,406,1000
0348,300,91000,300000,130331,90638,819,1000
0189,300,91000,300000,53020,90915,972,1000
0533,300,91000,300000,183662,90337,629,1000
0126,300,91000,300000,120876,90720,851,1000
0667,300,91000,300000,110176,90798,875,1000
0817,300,91000,300000,47066,90975,986,1000
0351,300,91000,300000,95318,90805,925,1000
0163,300,91000,300000,40065,90993,998,1000
0602,300,91000,300000,46545,90957,982,1000
0693,300,91000,300000,92043,90860,922,1000
0969,300,91000,300000,87452,90897,935,1000
0526,300,91000,300000,143304,90501,762,1000
0529,300,91000,300000,146881,90473,704,1000
0471,300,91000,300000,67926,90927,966,1000
011,300,91000,300000,37997,90988,994,1000
0165,300,91000,300000,41132,90971,988,1000
0222,300,91000,300000,96430,90741,889,1000
0146,300,91000,300000,85474,90778,885,1000
033,300,91000,300000,58291,90982,990,1000
0609,300,91000,300000,128767,90709,827,1000
0944,300,91000,300000,209957,89982,445,1000
0665,300,91000,300000,26572,91000,1000,1000
0742,300,91000,300000,33261,90989,998,1000
0433,300,91000,300000,100804,90694,872,1000
025,300,91000,300000,155552,90579,739,1000
0130,300,91000,300000,76051,90957,983,1000
0312,300,91000,300000,186774,89807,518,1000
0928,300,91000,300000,174507,90409,696,1000
043,300,91000,300000,205660,89918,421,1000
0543,300,91000,300000,115887,90685,847,1000
0766,300,91000,300000,74626,90880,924,1000
0880,300,91000,300000,59534,90969,982,1000
0619,300,91000,300000,28352,90997,999,1000
0558,300,91000,300000,54866,90987,992,1000
0528,300,91000,300000,162507,90260,715,1000
070,300,91000,300000,37912,90985,993,1000
0193,300,91000,300000,206710,89938,443,1000
052,300,91000,300000,74532,90912,967,1000
0437,300,91000,300000,154803,90467,755,1000
0392,300,91000,300000,41579,91000,1000,1000
0889,300,91000,300000,71450,90963,983,1000
0318,300,91000,300000,40422,90998,998,1000
0446,300,91000,300000,35424,90948,980,1000
0987,300,91000,300000,57520,90969,982,1000
0250,300,91000,300000,74160,90857,924,1000
0564,300,91000,300000,128861,90489,753,1000
0127,300,91000,300000,25259,91000,1000,1000
0197,300,91000,300000,119492,90807,894,1000
0808,300,91000,300000,100729,90880,937,1000
