FileNumber,iterations,TotalCSum,MaxFlipsResultSum,FlipsResultSum,satisfiedCSum,SolvedSum,nOfRuns
0915,300,218000,300000,111363,217872,895,1000
0903,300,218000,300000,166051,216931,138,1000
0366,300,218000,300000,163656,216942,265,1000
063,300,218000,300000,151481,216863,341,1000
0449,300,218000,300000,134341,217584,742,1000
0245,300,218000,300000,162009,217243,315,1000
0911,300,218000,300000,167332,217186,290,1000
0326,300,218000,300000,149942,217412,463,1000
0583,300,218000,300000,169387,217206,428,1000
0323,300,218000,300000,149858,217397,541,1000
050,300,218000,300000,143168,217100,334,1000
0819,300,218000,300000,148343,217358,467,1000
0472,300,218000,300000,110572,217879,882,1000
0320,300,218000,300000,122250,217806,815,1000
0778,300,218000,300000,150593,217566,619,1000
0500,300,218000,300000,170348,217066,233,1000
0599,300,218000,300000,138976,217681,690,1000
0451,300,218000,300000,156626,217176,550,1000
0196,300,218000,300000,143508,217670,704,1000
0299,300,218000,300000,138231,217712,723,1000
013,300,218000,300000,145082,217617,645,1000
0652,300,218000,300000,156731,217342,375,1000
098,300,218000,300000,125081,217673,702,1000
0880,300,218000,300000,151604,217201,379,1000
073,300,218000,300000,139116,216895,132,1000
0460,300,218000,300000,154688,217387,568,1000
0345,300,218000,300000,153352,217046,145,1000
0653,300,218000,300000,128383,217627,657,1000
0941,300,218000,300000,168918,217173,362,1000
0695,300,218000,300000,125823,217720,768,1000
0269,300,218000,300000,115142,217909,920,1000
0496,300,218000,300000,144722,217592,696,1000
0125,300,218000,300000,164102,217303,569,1000
0844,300,218000,300000,171739,217167,280,1000
0690,300,218000,300000,159911,216675,143,1000
0110,300,218000,300000,136181,217601,628,1000
0194,300,218000,300000,157864,216924,163,1000
0644,300,218000,300000,135044,217634,653,1000
0971,300,218000,300000,143735,217532,626,1000
0286,300,218000,300000,161695,217059,254,1000
0703,300,218000,300000,141594,217679,732,1000
0522,300,218000,300000,149734,217202,338,1000
0373,300,218000,300000,150437,217214,407,1000
0537,300,218000,300000,145022,217690,703,1000
0369,300,218000,300000,142943,215634,132,1000
0863,300,218000,300000,169565,216991,248,1000
0925,300,218000,300000,73692,217996,996,1000
0712,300,218000,300000,164384,217000,348,1000
0732,300,218000,300000,145320,217035,305,1000
0107,300,218000,300000,165730,216874,237,1000
0102,300,218000,300000,137640,217269,439,1000
0945,300,218000,300000,174527,217205,222,1000
0347,300,218000,300000,151264,217037,97,1000
0893,300,218000,300000,153659,217578,616,1000
0657,300,218000,300000,131939,217782,808,1000
0215,300,218000,300000,138100,217395,432,1000
0672,300,218000,300000,165648,216608,325,1000
0502,300,218000,300000,160481,216774,197,1000
0538,300,218000,300000,143969,217563,609,1000
0585,300,218000,300000,155341,217364,423,1000
0973,300,218000,300000,138184,217388,440,1000
0579,300,218000,300000,142752,217566,597,1000
0799,300,218000,300000,158375,217079,227,1000
0214,300,218000,300000,136837,217333,424,1000
0346,300,218000,300000,156861,216819,332,1000
0857,300,218000,300000,163421,217101,489,1000
0237,300,218000,300000,123181,217757,769,1000
0416,300,218000,300000,127647,217780,838,1000
0466,300,218000,300000,147025,217183,482,1000
0151,300,218000,300000,168647,216968,191,1000
0283,300,218000,300000,137523,217416,611,1000
0724,300,218000,300000,116409,217784,831,1000
0188,300,218000,300000,130920,217745,806,1000
0297,300,218000,300000,159489,216252,237,1000
0820,300,218000,300000,149044,217569,619,1000
0422,300,218000,300000,160625,217089,349,1000
0210,300,218000,300000,152447,217528,590,1000
0352,300,218000,300000,144868,216812,99,1000
0131,300,218000,300000,120020,217696,769,1000
0242,300,218000,300000,103996,217914,920,1000
0311,300,218000,300000,151533,216907,184,1000
0996,300,218000,300000,143946,217338,561,1000
0379,300,218000,300000,146997,217284,523,1000
0239,300,218000,300000,122535,217673,680,1000
0355,300,218000,300000,162082,216710,335,1000
0443,300,218000,300000,152270,217433,451,1000
0240,300,218000,300000,156049,217016,245,1000
0301,300,218000,300000,166569,216993,272,1000
0549,300,218000,300000,98895,217947,949,1000
0447,300,218000,300000,159059,216967,72,1000
0746,300,218000,300000,99201,217956,957,1000
0786,300,218000,300000,123181,217834,849,1000
0564,300,218000,300000,151855,217419,550,1000
0779,300,218000,300000,130774,217778,795,1000
0686,300,218000,300000,138866,217593,733,1000
0810,300,218000,300000,139724,216892,295,1000
0138,300,218000,300000,160679,217363,418,1000
0824,300,218000,300000,132745,217634,636,1000
0822,300,218000,300000,121041,217912,927,1000
061,300,218000,300000,164595,216054,288,1000
